Tempo [h];T0_Quota [m s.l.m.];T0_Volume totale [Mm^3];Tmax_Quota [m s.l.m.];Tmax_Volume totale [Mm^3];Tieri_Quota [m s.l.m.];Tieri_Volume totale [Mm^3]
0;823.0;23.0;823.0;23.0;823.0;23.0
1;823.0;23.0;823.0;22.9;823.0;23.0
2;823.0;23.0;823.0;22.9;823.0;23.0
3;823.1;23.1;823.0;22.9;823.1;23.1
4;823.1;23.2;823.0;23.0;823.1;23.2
5;823.2;23.4;823.1;23.1;823.2;23.4
6;823.3;23.6;823.1;23.3;823.3;23.6
7;823.4;23.8;823.2;23.4;823.4;23.8
8;823.5;24.1;823.3;23.6;823.5;24.1
9;823.6;24.3;823.4;23.8;823.6;24.3
10;823.8;24.5;823.5;24.0;823.8;24.5
11;823.9;24.8;823.6;24.1;823.9;24.7
12;824.0;25.0;823.7;24.3;824.0;24.9
13;824.1;25.3;823.8;24.5;824.1;25.1
14;824.3;25.5;823.9;24.7;824.2;25.3
15;824.4;25.8;823.9;24.9;824.3;25.5
16;824.5;26.0;824.0;25.1;824.4;25.7
17;824.6;26.2;824.1;25.3;824.5;25.9
18;824.7;26.5;824.2;25.5;824.6;26.1
19;824.9;26.7;824.3;25.6;824.7;26.4
20;825.0;27.0;824.4;25.8;824.8;26.6
21;825.1;27.2;824.5;26.0;824.9;26.9
22;825.2;27.5;824.6;26.2;825.1;27.1
23;825.3;27.7;824.7;26.4;825.1;27.4
24;825.4;28.0;824.8;26.6;825.2;27.6
25;825.5;28.2;824.9;26.8;825.3;27.9
26;825.5;28.4;825.0;26.9;825.4;28.1
27;825.6;28.6;825.0;27.0;825.5;28.2
28;825.7;28.7;825.0;27.1;825.5;28.3
29;825.7;28.8;825.0;27.1;825.5;28.4
30;825.7;28.8;825.0;27.1;825.6;28.5
31;825.7;28.8;825.0;27.0;825.6;28.5
32;825.7;28.8;825.0;27.0;825.6;28.5
33;825.7;28.9;825.0;27.0;825.6;28.5
34;825.7;28.9;824.9;26.9;825.6;28.5
35;825.7;28.9;824.9;26.8;825.6;28.5
36;825.7;28.9;824.9;26.8;825.5;28.4
37;825.7;28.8;824.9;26.7;825.5;28.4
38;825.7;28.8;824.8;26.7;825.5;28.3
39;825.7;28.8;824.8;26.6;825.5;28.3
40;825.7;28.8;824.8;26.5;825.5;28.2
41;825.7;28.8;824.7;26.5;825.5;28.2
42;825.7;28.8;824.7;26.4;825.4;28.1
43;825.7;28.8;824.7;26.3;825.4;28.1
44;825.7;28.8;824.6;26.3;825.4;28.1
45;825.7;28.8;824.6;26.2;825.4;28.1
46;825.7;28.8;824.6;26.1;825.4;28.1
47;825.7;28.8;824.5;26.1;825.4;28.1
48;825.7;28.8;824.5;26.0;825.4;28.1
49;825.7;28.8;824.5;26.0;825.4;28.1
50;825.7;28.8;824.4;25.9;825.4;28.1
51;825.7;28.8;824.4;25.8;825.4;28.1
52;825.7;28.8;824.4;25.8;825.4;28.1
53;825.7;28.8;824.4;25.7;825.4;28.1
54;825.7;28.8;824.3;25.6;825.4;28.1
55;825.7;28.8;824.3;25.6;825.4;28.1
56;825.7;28.7;824.3;25.5;825.4;28.1
57;825.7;28.7;824.2;25.5;825.4;28.0
58;825.7;28.7;824.2;25.4;825.4;28.0
59;825.7;28.7;824.2;25.3;825.4;28.0
60;825.7;28.7;824.1;25.3;825.4;27.9
61;825.7;28.7;824.1;25.2;825.3;27.9
62;825.7;28.7;824.1;25.1;825.3;27.8
63;825.7;28.7;824.0;25.1;825.3;27.8
64;825.7;28.7;824.0;25.0;825.3;27.8
65;825.7;28.7;824.0;25.0;825.3;27.7
66;825.7;28.7;823.9;24.9;825.3;27.7
67;825.6;28.7;823.9;24.8;825.2;27.6
68;825.6;28.7;823.9;24.8;825.2;27.6
69;825.6;28.7;823.9;24.7;825.2;27.6
70;825.6;28.7;823.8;24.6;825.2;27.6
71;825.6;28.7;823.8;24.6;825.2;27.6
72;825.6;28.7;823.8;24.5;825.2;27.6
